freq	gain	phase
1011	138.6950	-113.3334
1015	139.6468	-116.3308
1019	140.6822	-120.5067
1023	141.7932	-125.8808
1027	142.9245	-133.3689
1031	143.9434	-142.9623
1035	144.7587	-154.2155
1039	145.3209	-166.8327
1042	145.5432	-179.9841
1046	145.4458	167.2081
1050	145.0510	155.1791
1054	144.3849	144.5693
1058	143.5200	135.6377
1062	142.5492	128.4497
1066	141.5272	122.7035
1070	140.5127	118.1489
1074	139.5260	114.4551
1078	138.5893	111.4106
1082	137.7031	108.8685
1085	136.8690	106.6788
1089	136.0864	104.8369
1093	135.3482	103.2081
1097	134.6486	101.8158
1101	133.9943	100.5516
1105	133.3610	99.4833
1109	132.7714	98.4720
1113	132.1988	97.6289
1117	131.6581	96.8187
1121	131.1388	96.0737
1124	130.6385	95.3887
1128	130.1632	94.7110
1132	129.6956	94.0885
1136	129.2587	93.4778
1140	128.8230	92.9119
1144	128.4109	92.3245
1148	128.0030	91.7705
1152	127.6085	91.1810
1156	127.2126	90.5975
1160	126.8308	90.0856
1164	126.4431	89.5930
1167	126.0681	89.2775
1171	125.6981	88.9265
1175	125.3483	88.7591
1179	125.0034	88.4010
1183	124.6827	88.1698
1187	124.3596	87.7850
1191	124.0546	87.4170
1195	123.7387	87.1231
1199	123.4523	86.7428
1203	123.1247	86.5037
1207	122.8546	86.1084
1210	122.5199	85.8555
1214	122.2463	85.4921
1218	121.9325	85.1469
1222	121.6375	84.9814
1226	121.3511	84.4789
1230	121.0491	84.4844
1234	120.7747	83.9781
1238	120.4915	83.8992
1242	120.2225	83.4991
1246	119.9220	83.1366
1249	119.6661	82.8481
1253	119.3327	82.3749
1257	119.0812	82.1855
1261	118.7639	81.8982
1265	118.4878	81.6591
1269	118.1875	81.5848
1273	117.8942	81.3769
1277	117.6050	81.2786
1281	117.3151	81.0616
1285	117.0206	80.9387
1289	116.6996	80.2853
1292	116.3218	80.2860
1296	115.9570	79.8382
1300	115.5590	80.2583
1304	115.2147	80.6500
1308	114.9507	81.4791
1312	114.6683	81.6663
1316	114.4974	81.7779
1320	114.1491	81.7842
1324	114.0473	81.1605
1328	113.5532	81.4483
1332	113.4378	80.9903
1335	112.9302	80.7651
1339	112.6049	80.2415
1343	112.1113	79.5133
1347	111.5843	79.0031
1351	111.0704	78.4111
1355	110.4008	78.5315
1359	109.9169	78.7498
1363	109.1670	79.4476
