sample	CMD_POS_FLOATMAG_BH	ENC_POS_FLOATMAG_BH	POS_ERR_FLOATMAG_BH	DAC_FLOATMAG_BH	MODE_FLOATMAG_BH	FLOATMAG_ACC_ADC_PORT_0
88	15517.000000	13335.000000	2182.000000	1648.000000	903000c	-11466.000000
89	15996.000000	13795.000000	2201.000000	1701.000000	903000c	-11356.000000
90	16481.000000	14281.000000	2200.000000	1614.000000	903000c	-11315.000000
91	16974.000000	14762.000000	2212.000000	1664.000000	903000c	-11159.000000
92	17475.000000	15264.000000	2211.000000	1599.000000	903000c	-10986.000000
93	17982.000000	15763.000000	2219.000000	1639.000000	903000c	-10801.000000
94	18497.000000	16286.000000	2211.000000	1556.000000	903000c	-10944.000000
95	19018.000000	16808.000000	2210.000000	1580.000000	903000c	-10759.000000
96	19547.000000	17350.000000	2197.000000	1511.000000	903000c	-10726.000000
97	20082.000000	17896.000000	2186.000000	1509.000000	903000c	-10412.000000
98	20624.000000	18449.000000	2175.000000	1502.000000	903000c	-10382.000000
99	21173.000000	19006.000000	2167.000000	1511.000000	903000c	-10297.000000
100	21728.000000	19577.000000	2151.000000	1469.000000	903000c	-10400.000000
101	22290.000000	20155.000000	2135.000000	1452.000000	903000c	-10173.000000
102	22858.000000	20744.000000	2114.000000	1416.000000	903000c	-10067.000000
103	23432.000000	21350.000000	2082.000000	1344.000000	903000c	-9935.000000
104	24013.000000	21954.000000	2059.000000	1363.000000	903000c	-9818.000000
105	24599.000000	22573.000000	2026.000000	1309.000000	903000c	-9889.000000
106	25192.000000	23189.000000	2003.000000	1336.000000	903000c	-9551.000000
107	25790.000000	23813.000000	1977.000000	1318.000000	903000c	-9586.000000
108	26394.000000	24458.000000	1936.000000	1222.000000	903000c	-9303.000000
109	27004.000000	25106.000000	1898.000000	1202.000000	903000c	-9453.000000
110	27619.000000	25763.000000	1856.000000	1162.000000	903000c	-9270.000000
111	28239.000000	26432.000000	1807.000000	1103.000000	903000c	-9266.000000
112	28864.000000	27095.000000	1769.000000	1133.000000	903000c	-8870.000000
113	29495.000000	27767.000000	1728.000000	1100.000000	903000c	-8909.000000
114	30130.000000	28449.000000	1681.000000	1050.000000	903000c	-8779.000000
115	30770.000000	29138.000000	1632.000000	1008.000000	903000c	-8780.000000
116	31415.000000	29833.000000	1582.000000	972.000000	903000c	-8657.000000
117	32064.000000	30532.000000	1532.000000	945.000000	903000c	-8367.000000
118	32717.000000	31222.000000	1495.000000	989.000000	903000c	-8320.000000
119	33375.000000	31920.000000	1455.000000	957.000000	903000c	-8086.000000
120	34037.000000	32636.000000	1401.000000	857.000000	903000c	-8041.000000
121	34702.000000	33354.000000	1348.000000	824.000000	903000c	-7656.000000
122	35372.000000	34065.000000	1307.000000	850.000000	903000c	-7584.000000
123	36045.000000	34787.000000	1258.000000	796.000000	903000c	-7215.000000
124	36721.000000	35503.000000	1218.000000	816.000000	903000c	-7130.000000
125	37400.000000	36215.000000	1185.000000	837.000000	903000c	-6933.000000
126	38083.000000	36953.000000	1130.000000	703.000000	903000c	-6495.000000
127	38768.000000	37686.000000	1082.000000	699.000000	903000c	-6244.000000
128	39457.000000	38411.000000	1046.000000	732.000000	903000c	-5895.000000
129	40148.000000	39143.000000	1005.000000	698.000000	903000c	-5801.000000
130	40841.000000	39883.000000	958.000000	645.000000	903000c	-5254.000000
131	41536.000000	40619.000000	917.000000	648.000000	903000c	-5153.000000
