sample	CMD_POS_FLOATMAG_BH	ENC_POS_FLOATMAG_BH	POS_ERR_FLOATMAG_BH	DAC_FLOATMAG_BH	MODE_FLOATMAG_BH	FLOATMAG_ACC_ADC_PORT_0
0	-3.000000	-3.000000	0.000000	-203.000000	ff010001	-125.000000
1	-3.000000	-2.000000	-1.000000	-209.000000	ff010001	190.000000
2	-3.000000	-2.000000	-1.000000	-206.000000	903000a	-77.000000
3	-3.000000	-4.000000	1.000000	-182.000000	903000a	95.000000
4	-3.000000	-1.000000	-2.000000	-191.000000	903000a	-97.000000
5	-3.000000	-3.000000	0.000000	-152.000000	903000a	114.000000
6	-2.000000	0.000000	-2.000000	-156.000000	903000a	31.000000
7	0.000000	-1.000000	1.000000	-119.000000	903000a	114.000000
8	3.000000	1.000000	2.000000	-111.000000	903000a	48.000000
9	7.000000	0.000000	7.000000	-76.000000	903000a	30.000000
10	11.000000	4.000000	7.000000	-76.000000	903000a	45.000000
11	18.000000	3.000000	15.000000	-29.000000	903000a	62.000000
12	26.000000	9.000000	17.000000	-35.000000	903000a	86.000000
13	35.000000	7.000000	28.000000	29.000000	903000a	34.000000
14	47.000000	14.000000	33.000000	20.000000	903000a	-4.000000
15	61.000000	22.000000	39.000000	42.000000	903000a	22.000000
16	77.000000	31.000000	46.000000	69.000000	903000a	-16.000000
17	95.000000	38.000000	57.000000	116.000000	903000a	1.000000
18	116.000000	50.000000	66.000000	132.000000	903000a	-186.000000
19	140.000000	59.000000	81.000000	186.000000	903000a	-128.000000
20	166.000000	76.000000	90.000000	191.000000	903000a	-431.000000
21	196.000000	91.000000	105.000000	239.000000	903000a	-169.000000
22	229.000000	112.000000	117.000000	254.000000	903000a	-477.000000
23	265.000000	131.000000	134.000000	306.000000	903000a	-382.000000
24	305.000000	153.000000	152.000000	340.000000	903000a	-872.000000
25	349.000000	182.000000	167.000000	350.000000	903000a	-674.000000
26	396.000000	210.000000	186.000000	397.000000	903000a	-1019.000000
27	448.000000	246.000000	202.000000	404.000000	903000a	-852.000000
28	504.000000	284.000000	220.000000	436.000000	903000a	-1339.000000
29	564.000000	327.000000	237.000000	457.000000	903000a	-1368.000000
30	628.000000	371.000000	257.000000	498.000000	903000a	-1721.000000
31	697.000000	427.000000	270.000000	485.000000	903000a	-1807.000000
32	771.000000	479.000000	292.000000	547.000000	903000a	-2119.000000
33	850.000000	540.000000	310.000000	554.000000	903000a	-2423.000000
34	934.000000	607.000000	327.000000	569.000000	903000a	-2740.000000
35	1023.000000	676.000000	347.000000	606.000000	903000a	-3041.000000
36	1117.000000	751.000000	366.000000	626.000000	903000a	-3209.000000
37	1217.000000	831.000000	386.000000	650.000000	903000a	-3595.000000
38	1322.000000	912.000000	410.000000	696.000000	903000a	-3911.000000
39	1433.000000	999.000000	434.000000	721.000000	903000a	-4451.000000
40	1550.000000	1087.000000	463.000000	769.000000	903000a	-4670.000000
41	1672.000000	1180.000000	492.000000	801.000000	903000a	-5016.000000
42	1801.000000	1280.000000	521.000000	821.000000	903000a	-5314.000000
43	1936.000000	1382.000000	554.000000	865.000000	903000a	-5757.000000
44	2077.000000	1499.000000	578.000000	846.000000	903000a	-6189.000000
45	2224.000000	1618.000000	606.000000	884.000000	903000a	-6358.000000
46	2378.000000	1744.000000	634.000000	908.000000	903000a	-6892.000000
