sample	CMD_POS_FLOATMAG_BH	ENC_POS_FLOATMAG_BH	POS_ERR_FLOATMAG_BH	DAC_FLOATMAG_BH	MODE_FLOATMAG_BH	FLOATMAG_ACC_ADC_PORT_0
0	-3.000000	-7.000000	0.000000	-195.000000	ff010001	-19.000000
1	-3.000000	-6.000000	3.000000	-205.000000	ff010001	87.000000
2	-3.000000	-4.000000	1.000000	-210.000000	903000a	-79.000000
3	-3.000000	-6.000000	3.000000	-180.000000	903000a	37.000000
4	-3.000000	-5.000000	2.000000	-177.000000	903000a	-113.000000
5	-3.000000	-4.000000	1.000000	-162.000000	903000a	165.000000
6	-2.000000	-7.000000	5.000000	-123.000000	903000a	-85.000000
7	0.000000	-4.000000	4.000000	-131.000000	903000a	170.000000
8	3.000000	-3.000000	6.000000	-106.000000	903000a	-167.000000
9	7.000000	-2.000000	9.000000	-84.000000	903000a	101.000000
10	11.000000	-3.000000	14.000000	-50.000000	903000a	-145.000000
11	18.000000	-2.000000	20.000000	-33.000000	903000a	211.000000
12	26.000000	2.000000	24.000000	-23.000000	903000a	-76.000000
13	35.000000	6.000000	29.000000	2.000000	903000a	96.000000
14	47.000000	11.000000	36.000000	27.000000	903000a	-95.000000
15	61.000000	16.000000	45.000000	60.000000	903000a	9.000000
16	77.000000	28.000000	49.000000	60.000000	903000a	-102.000000
17	95.000000	33.000000	62.000000	128.000000	903000a	-146.000000
18	116.000000	47.000000	69.000000	127.000000	903000a	-194.000000
19	140.000000	59.000000	81.000000	173.000000	903000a	-280.000000
20	166.000000	74.000000	92.000000	201.000000	903000a	-301.000000
21	196.000000	89.000000	107.000000	244.000000	903000a	-451.000000
22	229.000000	109.000000	120.000000	264.000000	903000a	-429.000000
23	265.000000	128.000000	137.000000	311.000000	903000a	-671.000000
24	305.000000	152.000000	153.000000	333.000000	903000a	-724.000000
25	349.000000	179.000000	170.000000	361.000000	903000a	-832.000000
26	396.000000	210.000000	186.000000	385.000000	903000a	-964.000000
27	448.000000	241.000000	207.000000	430.000000	903000a	-1081.000000
28	504.000000	277.000000	227.000000	454.000000	903000a	-1359.000000
29	564.000000	319.000000	245.000000	468.000000	903000a	-1415.000000
30	628.000000	370.000000	258.000000	466.000000	903000a	-1811.000000
31	697.000000	418.000000	279.000000	523.000000	903000a	-1769.000000
32	771.000000	474.000000	297.000000	535.000000	903000a	-2288.000000
33	850.000000	540.000000	310.000000	529.000000	903000a	-2341.000000
34	934.000000	603.000000	331.000000	587.000000	903000a	-2875.000000
35	1023.000000	676.000000	347.000000	591.000000	903000a	-2907.000000
36	1117.000000	748.000000	369.000000	643.000000	903000a	-3429.000000
37	1217.000000	827.000000	390.000000	662.000000	903000a	-3568.000000
38	1322.000000	909.000000	413.000000	697.000000	903000a	-4215.000000
39	1433.000000	996.000000	437.000000	725.000000	903000a	-4273.000000
40	1550.000000	1088.000000	462.000000	752.000000	903000a	-4758.000000
41	1672.000000	1177.000000	495.000000	822.000000	903000a	-5028.000000
42	1801.000000	1279.000000	522.000000	817.000000	903000a	-5461.000000
43	1936.000000	1384.000000	552.000000	851.000000	903000a	-5831.000000
44	2077.000000	1498.000000	579.000000	861.000000	903000a	-6119.000000
45	2224.000000	1616.000000	608.000000	894.000000	903000a	-6488.000000
46	2378.000000	1742.000000	636.000000	912.000000	903000a	-6697.000000
47	2539.000000	1872.000000	667.000000	949.000000	903000a	-7230.000000
48	2706.000000	2006.000000	700.000000	991.000000	903000a	-7529.000000
49	2880.000000	2141.000000	739.000000	1051.000000	903000a	-7911.000000
50	3061.000000	2286.000000	775.000000	1067.000000	903000a	-8204.000000
51	3248.000000	2433.000000	815.000000	1118.000000	903000a	-8583.000000
52	3443.000000	2592.000000	851.000000	1122.000000	903000a	-9019.000000
53	3645.000000	2755.000000	890.000000	1160.000000	903000a	-9211.000000
54	3854.000000	2929.000000	925.000000	1167.000000	903000a	-9583.000000
55	4070.000000	3100.000000	970.000000	1243.000000	903000a	-9700.000000
56	4293.000000	3285.000000	1008.000000	1243.000000	903000a	-10265.000000
57	4524.000000	3466.000000	1058.000000	1324.000000	903000a	-10366.000000
58	4763.000000	3666.000000	1097.000000	1299.000000	903000a	-10926.000000
59	5008.000000	3875.000000	1133.000000	1307.000000	903000a	-10743.000000
60	5262.000000	4090.000000	1172.000000	1334.000000	903000a	-11238.000000
61	5523.000000	4304.000000	1219.000000	1403.000000	903000a	-11228.000000
62	5791.000000	4525.000000	1266.000000	1440.000000	903000a	-11780.000000
63	6067.000000	4759.000000	1308.000000	1440.000000	903000a	-11735.000000
64	6351.000000	5007.000000	1344.000000	1425.000000	903000a	-12053.000000
65	6643.000000	5246.000000	1397.000000	1527.000000	903000a	-11944.000000
66	6943.000000	5494.000000	1449.000000	1559.000000	903000a	-12330.000000
67	7250.000000	5759.000000	1491.000000	1537.000000	903000a	-12378.000000
68	7565.000000	6030.000000	1535.000000	1559.000000	903000a	-12539.000000
69	7888.000000	6299.000000	1589.000000	1632.000000	903000a	-12465.000000
70	8219.000000	6583.000000	1636.000000	1627.000000	903000a	-12407.000000
71	8558.000000	6878.000000	1680.000000	1629.000000	903000a	-12606.000000
72	8905.000000	7180.000000	1725.000000	1651.000000	903000c	-12789.000000
73	9259.000000	7483.000000	1776.000000	1709.000000	903000c	-12711.000000
74	9622.000000	7808.000000	1814.000000	1664.000000	903000c	-12475.000000
75	9992.000000	8139.000000	1853.000000	1684.000000	903000c	-12525.000000
76	10371.000000	8473.000000	1898.000000	1729.000000	903000c	-12633.000000
77	10757.000000	8825.000000	1932.000000	1701.000000	903000c	-12628.000000
78	11151.000000	9185.000000	1966.000000	1712.000000	903000c	-12563.000000
79	11553.000000	9541.000000	2012.000000	1790.000000	903000c	-12327.000000
80	11962.000000	9922.000000	2040.000000	1730.000000	903000c	-12373.000000
81	12380.000000	10311.000000	2069.000000	1731.000000	903000c	-12270.000000
82	12805.000000	10702.000000	2103.000000	1771.000000	903000c	-12467.000000
83	13238.000000	11112.000000	2126.000000	1729.000000	903000c	-12008.000000
84	13679.000000	11521.000000	2158.000000	1776.000000	903000c	-11987.000000
85	14127.000000	11949.000000	2178.000000	1733.000000	903000c	-11637.000000
86	14583.000000	12391.000000	2192.000000	1698.000000	903000c	-12024.000000
87	15046.000000	12841.000000	2205.000000	1692.000000	903000c	-11709.000000
88	15517.000000	13306.000000	2211.000000	1654.000000	903000c	-11695.000000
89	15996.000000	13772.000000	2224.000000	1684.000000	903000c	-11237.000000
90	16481.000000	14256.000000	2225.000000	1635.000000	903000c	-11316.000000
91	16974.000000	14734.000000	2240.000000	1697.000000	903000c	-11238.000000
92	17475.000000	15236.000000	2239.000000	1621.000000	903000c	-11265.000000
93	17982.000000	15734.000000	2248.000000	1664.000000	903000c	-10990.000000
94	18497.000000	16259.000000	2238.000000	1564.000000	903000c	-10836.000000
95	19018.000000	16782.000000	2236.000000	1589.000000	903000c	-10810.000000
96	19547.000000	17327.000000	2220.000000	1509.000000	903000c	-10807.000000
97	20082.000000	17869.000000	2213.000000	1541.000000	903000c	-10799.000000
98	20624.000000	18426.000000	2198.000000	1497.000000	903000c	-10488.000000
99	21173.000000	18983.000000	2190.000000	1520.000000	903000c	-10306.000000
100	21728.000000	19551.000000	2177.000000	1495.000000	903000c	-10378.000000
101	22290.000000	20135.000000	2155.000000	1434.000000	903000c	-10339.000000
102	22858.000000	20716.000000	2142.000000	1463.000000	903000c	-10392.000000
103	23432.000000	21326.000000	2106.000000	1340.000000	903000c	-10130.000000
104	24013.000000	21930.000000	2083.000000	1371.000000	903000c	-10012.000000
105	24599.000000	22550.000000	2049.000000	1313.000000	903000c	-9769.000000
106	25192.000000	23169.000000	2023.000000	1329.000000	903000c	-10053.000000
107	25790.000000	23794.000000	1996.000000	1319.000000	903000c	-9624.000000
108	26394.000000	24445.000000	1949.000000	1200.000000	903000c	-9804.000000
109	27004.000000	25089.000000	1915.000000	1228.000000	903000c	-9346.000000
110	27619.000000	25748.000000	1871.000000	1166.000000	903000c	-9491.000000
111	28239.000000	26415.000000	1824.000000	1126.000000	903000c	-9345.000000
112	28864.000000	27075.000000	1789.000000	1164.000000	903000c	-9355.000000
113	29495.000000	27748.000000	1747.000000	1112.000000	903000c	-9097.000000
114	30130.000000	28438.000000	1692.000000	1021.000000	903000c	-8958.000000
115	30770.000000	29129.000000	1641.000000	1001.000000	903000c	-8853.000000
116	31415.000000	29821.000000	1594.000000	994.000000	903000c	-8820.000000
117	32064.000000	30519.000000	1545.000000	964.000000	903000c	-8752.000000
118	32717.000000	31216.000000	1501.000000	965.000000	903000c	-8400.000000
119	33375.000000	31916.000000	1459.000000	949.000000	903000c	-8355.000000
120	34037.000000	32633.000000	1404.000000	857.000000	903000c	-7988.000000
121	34702.000000	33345.000000	1357.000000	862.000000	903000c	-8078.000000
122	35372.000000	34055.000000	1317.000000	870.000000	903000c	-7623.000000
123	36045.000000	34783.000000	1262.000000	775.000000	903000c	-7701.000000
124	36721.000000	35501.000000	1220.000000	806.000000	903000c	-6973.000000
125	37400.000000	36214.000000	1186.000000	834.000000	903000c	-7037.000000
126	38083.000000	36946.000000	1137.000000	738.000000	903000c	-6505.000000
127	38768.000000	37686.000000	1082.000000	673.000000	903000c	-6525.000000
128	39457.000000	38409.000000	1048.000000	743.000000	903000c	-6119.000000
129	40148.000000	39143.000000	1005.000000	693.000000	903000c	-5696.000000
130	40841.000000	39886.000000	955.000000	633.000000	903000c	-5286.000000
131	41536.000000	40617.000000	919.000000	677.000000	903000c	-5118.000000
132	42234.000000	41361.000000	873.000000	609.000000	903000c	-4812.000000
133	42934.000000	42102.000000	832.000000	604.000000	903000c	-4226.000000
134	43635.000000	42850.000000	785.000000	555.000000	903000c	-3967.000000
135	44338.000000	43600.000000	738.000000	523.000000	903000c	-3347.000000
136	45042.000000	44340.000000	702.000000	556.000000	903000c	-3278.000000
137	45748.000000	45088.000000	660.000000	506.000000	903000c	-2791.000000
138	46454.000000	45838.000000	616.000000	470.000000	903000c	-2451.000000
139	47161.000000	46592.000000	569.000000	423.000000	903000c	-1874.000000
140	47870.000000	47346.000000	524.000000	393.000000	903000c	-1535.000000
141	48578.000000	48097.000000	481.000000	381.000000	903000c	-1017.000000
142	49287.000000	48834.000000	453.000000	430.000000	903000c	-904.000000
143	49997.000000	49583.000000	414.000000	354.000000	903000d	-432.000000
144	50706.000000	50330.000000	376.000000	326.000000	903000d	188.000000
145	51415.000000	51087.000000	328.000000	240.000000	903000d	537.000000
146	52123.000000	51820.000000	303.000000	323.000000	903000d	1078.000000
147	52832.000000	52555.000000	277.000000	301.000000	903000d	1236.000000
148	53539.000000	53300.000000	239.000000	221.000000	903000d	1949.000000
149	54245.000000	54045.000000	200.000000	178.000000	903000d	2252.000000
150	54951.000000	54778.000000	173.000000	203.000000	903000d	3015.000000
151	55655.000000	55506.000000	149.000000	207.000000	903000d	3038.000000
152	56358.000000	56242.000000	116.000000	141.000000	903000d	3506.000000
153	57059.000000	56967.000000	92.000000	159.000000	903000d	3683.000000
154	57759.000000	57696.000000	63.000000	113.000000	903000d	4462.000000
155	58457.000000	58427.000000	30.000000	66.000000	903000d	4979.000000
156	59152.000000	59151.000000	1.000000	63.000000	903000d	5287.000000
157	59845.000000	59863.000000	-18.000000	96.000000	903000d	5315.000000
158	60536.000000	60579.000000	-43.000000	52.000000	903000d	5671.000000
159	61225.000000	61297.000000	-72.000000	3.000000	903000d	6270.000000
