sample	CMD_POS_FLOATMAG_BH	ENC_POS_FLOATMAG_BH	POS_ERR_FLOATMAG_BH	DAC_FLOATMAG_BH	MODE_FLOATMAG_BH	FLOATMAG_ACC_ADC_PORT_0
0	-3.000000	-1.000000	0.000000	-211.000000	ff010001	17.000000
1	-3.000000	-1.000000	-2.000000	-206.000000	ff010001	-60.000000
2	-3.000000	2.000000	-5.000000	-218.000000	903000a	-30.000000
3	-3.000000	-2.000000	-1.000000	-175.000000	903000a	30.000000
4	-3.000000	0.000000	-3.000000	-185.000000	903000a	4.000000
5	-3.000000	-1.000000	-2.000000	-156.000000	903000a	41.000000
6	-2.000000	-4.000000	2.000000	-126.000000	903000a	-56.000000
7	0.000000	-4.000000	4.000000	-119.000000	903000a	-5.000000
8	3.000000	0.000000	3.000000	-122.000000	903000a	-5.000000
9	7.000000	-1.000000	8.000000	-79.000000	903000a	45.000000
10	11.000000	-2.000000	13.000000	-52.000000	903000a	-24.000000
11	18.000000	2.000000	16.000000	-51.000000	903000a	66.000000
12	26.000000	4.000000	22.000000	-18.000000	903000a	18.000000
13	35.000000	7.000000	28.000000	7.000000	903000a	-9.000000
14	47.000000	11.000000	36.000000	33.000000	903000a	76.000000
15	61.000000	15.000000	46.000000	66.000000	903000a	-95.000000
16	77.000000	24.000000	53.000000	77.000000	903000a	-11.000000
17	95.000000	33.000000	62.000000	110.000000	903000a	-240.000000
18	116.000000	44.000000	72.000000	139.000000	903000a	-17.000000
19	140.000000	58.000000	82.000000	164.000000	903000a	-323.000000
20	166.000000	73.000000	93.000000	199.000000	903000a	-175.000000
21	196.000000	85.000000	111.000000	258.000000	903000a	-544.000000
22	229.000000	107.000000	122.000000	255.000000	903000a	-350.000000
23	265.000000	124.000000	141.000000	320.000000	903000a	-692.000000
24	305.000000	148.000000	157.000000	334.000000	903000a	-592.000000
25	349.000000	174.000000	175.000000	366.000000	903000a	-871.000000
26	396.000000	202.000000	194.000000	401.000000	903000a	-837.000000
27	448.000000	236.000000	212.000000	417.000000	903000a	-1123.000000
28	504.000000	275.000000	229.000000	435.000000	903000a	-1314.000000
29	564.000000	316.000000	248.000000	468.000000	903000a	-1387.000000
30	628.000000	366.000000	262.000000	470.000000	903000a	-1714.000000
31	697.000000	415.000000	282.000000	518.000000	903000a	-1829.000000
32	771.000000	472.000000	299.000000	528.000000	903000a	-2258.000000
33	850.000000	532.000000	318.000000	559.000000	903000a	-2361.000000
34	934.000000	598.000000	336.000000	577.000000	903000a	-2773.000000
35	1023.000000	667.000000	356.000000	610.000000	903000a	-2960.000000
36	1117.000000	741.000000	376.000000	636.000000	903000a	-3410.000000
37	1217.000000	819.000000	398.000000	666.000000	903000a	-3649.000000
38	1322.000000	904.000000	418.000000	682.000000	903000a	-4045.000000
39	1433.000000	987.000000	446.000000	743.000000	903000a	-4386.000000
40	1550.000000	1078.000000	472.000000	760.000000	903000a	-4689.000000
41	1672.000000	1173.000000	499.000000	793.000000	903000a	-5137.000000
42	1801.000000	1267.000000	534.000000	854.000000	903000a	-5374.000000
43	1936.000000	1378.000000	558.000000	827.000000	903000a	-5894.000000
44	2077.000000	1492.000000	585.000000	858.000000	903000a	-5989.000000
45	2224.000000	1611.000000	613.000000	889.000000	903000a	-6582.000000
46	2378.000000	1738.000000	640.000000	906.000000	903000a	-6724.000000
47	2539.000000	1865.000000	674.000000	965.000000	903000a	-7335.000000
48	2706.000000	2004.000000	702.000000	968.000000	903000a	-7514.000000
49	2880.000000	2145.000000	735.000000	1015.000000	903000a	-7987.000000
50	3061.000000	2288.000000	773.000000	1070.000000	903000a	-8201.000000
51	3248.000000	2439.000000	809.000000	1096.000000	903000a	-8690.000000
52	3443.000000	2603.000000	840.000000	1091.000000	903000a	-8977.000000
53	3645.000000	2772.000000	873.000000	1120.000000	903000a	-9338.000000
54	3854.000000	2941.000000	913.000000	1181.000000	903000a	-9641.000000
55	4070.000000	3119.000000	951.000000	1204.000000	903000a	-9881.000000
56	4293.000000	3298.000000	995.000000	1262.000000	903000a	-10348.000000
57	4524.000000	3488.000000	1036.000000	1273.000000	903000a	-10498.000000
58	4763.000000	3688.000000	1075.000000	1281.000000	903000a	-10835.000000
59	5008.000000	3898.000000	1110.000000	1287.000000	903000a	-10867.000000
60	5262.000000	4108.000000	1154.000000	1345.000000	903000a	-11247.000000
61	5523.000000	4317.000000	1206.000000	1421.000000	903000a	-11467.000000
62	5791.000000	4544.000000	1247.000000	1401.000000	903000a	-11738.000000
63	6067.000000	4779.000000	1288.000000	1415.000000	903000a	-11907.000000
64	6351.000000	5018.000000	1333.000000	1455.000000	903000a	-11950.000000
65	6643.000000	5255.000000	1388.000000	1533.000000	903000a	-12190.000000
66	6943.000000	5511.000000	1432.000000	1509.000000	903000a	-12211.000000
67	7250.000000	5775.000000	1475.000000	1524.000000	903000a	-12548.000000
68	7565.000000	6042.000000	1523.000000	1570.000000	903000a	-12331.000000
69	7888.000000	6318.000000	1570.000000	1592.000000	903000a	-12570.000000
70	8219.000000	6603.000000	1616.000000	1611.000000	903000a	-12392.000000
71	8558.000000	6899.000000	1659.000000	1617.000000	903000a	-12909.000000
