sample	CMD_POS_FLOATMAG_BH	ENC_POS_FLOATMAG_BH	POS_ERR_FLOATMAG_BH	DAC_FLOATMAG_BH	MODE_FLOATMAG_BH	FLOATMAG_ACC_ADC_PORT_0
0	-3.000000	4.000000	0.000000	-208.000000	ff010001	-62.000000
1	-3.000000	2.000000	-5.000000	-198.000000	ff010001	-118.000000
2	-3.000000	1.000000	-4.000000	-200.000000	903000a	-16.000000
3	-3.000000	5.000000	-8.000000	-214.000000	903000a	25.000000
4	-3.000000	-1.000000	-2.000000	-151.000000	903000a	-20.000000
5	-3.000000	-1.000000	-2.000000	-156.000000	903000a	-11.000000
6	-2.000000	5.000000	-7.000000	-173.000000	903000a	-105.000000
7	0.000000	4.000000	-4.000000	-125.000000	903000a	83.000000
8	3.000000	-1.000000	4.000000	-79.000000	903000a	41.000000
9	7.000000	1.000000	6.000000	-87.000000	903000a	125.000000
10	11.000000	2.000000	9.000000	-64.000000	903000a	-56.000000
11	18.000000	3.000000	15.000000	-39.000000	903000a	-80.000000
12	26.000000	9.000000	17.000000	-38.000000	903000a	26.000000
13	35.000000	12.000000	23.000000	1.000000	903000a	94.000000
14	47.000000	15.000000	32.000000	35.000000	903000a	144.000000
15	61.000000	24.000000	37.000000	39.000000	903000a	-108.000000
16	77.000000	31.000000	46.000000	80.000000	903000a	-9.000000
17	95.000000	38.000000	57.000000	120.000000	903000a	-212.000000
18	116.000000	52.000000	64.000000	124.000000	903000a	-13.000000
19	140.000000	60.000000	80.000000	191.000000	903000a	-281.000000
20	166.000000	77.000000	89.000000	192.000000	903000a	-226.000000
21	196.000000	93.000000	103.000000	235.000000	903000a	-498.000000
22	229.000000	111.000000	118.000000	269.000000	903000a	-357.000000
23	265.000000	131.000000	134.000000	304.000000	903000a	-537.000000
24	305.000000	155.000000	150.000000	329.000000	903000a	-569.000000
25	349.000000	181.000000	168.000000	362.000000	903000a	-852.000000
26	396.000000	212.000000	184.000000	382.000000	903000a	-966.000000
27	448.000000	246.000000	202.000000	411.000000	903000a	-1035.000000
28	504.000000	283.000000	221.000000	441.000000	903000a	-1224.000000
29	564.000000	324.000000	240.000000	468.000000	903000a	-1300.000000
30	628.000000	370.000000	258.000000	489.000000	903000a	-1693.000000
31	697.000000	422.000000	275.000000	504.000000	903000a	-1822.000000
32	771.000000	482.000000	289.000000	507.000000	903000a	-2198.000000
33	850.000000	540.000000	310.000000	562.000000	903000a	-2278.000000
34	934.000000	606.000000	328.000000	575.000000	903000a	-2700.000000
35	1023.000000	676.000000	347.000000	602.000000	903000a	-2955.000000
36	1117.000000	750.000000	367.000000	631.000000	903000a	-3362.000000
37	1217.000000	831.000000	386.000000	646.000000	903000a	-3595.000000
38	1322.000000	915.000000	407.000000	680.000000	903000a	-3827.000000
39	1433.000000	998.000000	435.000000	739.000000	903000a	-4352.000000
40	1550.000000	1087.000000	463.000000	768.000000	903000a	-4618.000000
41	1672.000000	1180.000000	492.000000	802.000000	903000a	-5154.000000
42	1801.000000	1283.000000	518.000000	805.000000	903000a	-5235.000000
43	1936.000000	1388.000000	548.000000	846.000000	903000a	-5799.000000
44	2077.000000	1501.000000	576.000000	862.000000	903000a	-5896.000000
45	2224.000000	1619.000000	605.000000	892.000000	903000a	-6546.000000
46	2378.000000	1743.000000	635.000000	920.000000	903000a	-6721.000000
47	2539.000000	1878.000000	661.000000	922.000000	903000a	-7220.000000
48	2706.000000	2011.000000	695.000000	988.000000	903000a	-7396.000000
49	2880.000000	2150.000000	730.000000	1025.000000	903000a	-7911.000000
50	3061.000000	2290.000000	771.000000	1085.000000	903000a	-8262.000000
51	3248.000000	2441.000000	807.000000	1097.000000	903000a	-8693.000000
52	3443.000000	2601.000000	842.000000	1110.000000	903000a	-8892.000000
53	3645.000000	2766.000000	879.000000	1143.000000	903000a	-9159.000000
54	3854.000000	2938.000000	916.000000	1170.000000	903000a	-9607.000000
55	4070.000000	3110.000000	960.000000	1233.000000	903000a	-9908.000000
56	4293.000000	3288.000000	1005.000000	1273.000000	903000a	-10307.000000
57	4524.000000	3478.000000	1046.000000	1277.000000	903000a	-10420.000000
58	4763.000000	3679.000000	1084.000000	1279.000000	903000a	-10711.000000
59	5008.000000	3890.000000	1118.000000	1284.000000	903000a	-10923.000000
60	5262.000000	4101.000000	1161.000000	1343.000000	903000a	-11277.000000
61	5523.000000	4315.000000	1208.000000	1398.000000	903000a	-11416.000000
62	5791.000000	4544.000000	1247.000000	1391.000000	903000a	-11679.000000
63	6067.000000	4777.000000	1290.000000	1428.000000	903000a	-11791.000000
64	6351.000000	5016.000000	1335.000000	1462.000000	903000a	-12051.000000
65	6643.000000	5267.000000	1376.000000	1465.000000	903000a	-12286.000000
66	6943.000000	5516.000000	1427.000000	1535.000000	903000a	-12302.000000
67	7250.000000	5775.000000	1475.000000	1555.000000	903000a	-12429.000000
68	7565.000000	6048.000000	1517.000000	1545.000000	903000a	-12357.000000
69	7888.000000	6317.000000	1571.000000	1622.000000	903000a	-12599.000000
70	8219.000000	6600.000000	1619.000000	1623.000000	903000a	-12707.000000
71	8558.000000	6898.000000	1660.000000	1604.000000	903000a	-12812.000000
72	8905.000000	7201.000000	1704.000000	1632.000000	903000c	-12709.000000
73	9259.000000	7506.000000	1753.000000	1685.000000	903000c	-12708.000000
74	9622.000000	7827.000000	1795.000000	1672.000000	903000c	-12693.000000
75	9992.000000	8161.000000	1831.000000	1661.000000	903000c	-12714.000000
76	10371.000000	8493.000000	1878.000000	1726.000000	903000c	-12859.000000
77	10757.000000	8847.000000	1910.000000	1681.000000	903000c	-12522.000000
78	11151.000000	9204.000000	1947.000000	1715.000000	903000c	-12640.000000
79	11553.000000	9562.000000	1991.000000	1771.000000	903000c	-12416.000000
80	11962.000000	9950.000000	2012.000000	1681.000000	903000c	-12746.000000
81	12380.000000	10332.000000	2048.000000	1748.000000	903000c	-12242.000000
82	12805.000000	10731.000000	2074.000000	1722.000000	903000c	-12367.000000
83	13238.000000	11139.000000	2099.000000	1722.000000	903000c	-11867.000000
84	13679.000000	11548.000000	2131.000000	1765.000000	903000c	-12126.000000
85	14127.000000	11981.000000	2146.000000	1695.000000	903000c	-11999.000000
86	14583.000000	12419.000000	2164.000000	1701.000000	903000c	-11995.000000
87	15046.000000	12872.000000	2174.000000	1666.000000	903000c	-11591.000000
88	15517.000000	13335.000000	2182.000000	1649.000000	903000c	-11658.000000
89	15996.000000	13796.000000	2200.000000	1697.000000	903000c	-11365.000000
90	16481.000000	14282.000000	2199.000000	1616.000000	903000c	-11505.000000
91	16974.000000	14761.000000	2213.000000	1676.000000	903000c	-11272.000000
92	17475.000000	15264.000000	2211.000000	1598.000000	903000c	-11004.000000
93	17982.000000	15755.000000	2227.000000	1683.000000	903000c	-10961.000000
94	18497.000000	16282.000000	2215.000000	1545.000000	903000c	-10917.000000
95	19018.000000	16806.000000	2212.000000	1569.000000	903000c	-10993.000000
96	19547.000000	17347.000000	2200.000000	1514.000000	903000c	-10738.000000
97	20082.000000	17889.000000	2193.000000	1531.000000	903000c	-10580.000000
98	20624.000000	18447.000000	2177.000000	1481.000000	903000c	-10356.000000
99	21173.000000	19000.000000	2173.000000	1528.000000	903000c	-10398.000000
100	21728.000000	19569.000000	2159.000000	1483.000000	903000c	-10486.000000
101	22290.000000	20152.000000	2138.000000	1429.000000	903000c	-10135.000000
102	22858.000000	20736.000000	2122.000000	1439.000000	903000c	-10203.000000
103	23432.000000	21342.000000	2090.000000	1349.000000	903000c	-9885.000000
104	24013.000000	21943.000000	2070.000000	1382.000000	903000c	-10091.000000
105	24599.000000	22569.000000	2030.000000	1278.000000	903000c	-9689.000000
106	25192.000000	23184.000000	2008.000000	1337.000000	903000c	-9924.000000
107	25790.000000	23809.000000	1981.000000	1314.000000	903000c	-9236.000000
108	26394.000000	24458.000000	1936.000000	1203.000000	903000c	-9637.000000
109	27004.000000	25104.000000	1900.000000	1212.000000	903000c	-9267.000000
110	27619.000000	25759.000000	1860.000000	1177.000000	903000c	-9507.000000
111	28239.000000	26430.000000	1809.000000	1099.000000	903000c	-9104.000000
112	28864.000000	27093.000000	1771.000000	1135.000000	903000c	-9003.000000
113	29495.000000	27762.000000	1733.000000	1118.000000	903000c	-8902.000000
114	30130.000000	28458.000000	1672.000000	981.000000	903000c	-8956.000000
115	30770.000000	29137.000000	1633.000000	1048.000000	903000c	-8743.000000
116	31415.000000	29828.000000	1587.000000	999.000000	903000c	-8612.000000
117	32064.000000	30537.000000	1527.000000	899.000000	903000c	-8430.000000
118	32717.000000	31227.000000	1490.000000	979.000000	903000c	-8223.000000
119	33375.000000	31929.000000	1446.000000	930.000000	903000c	-8280.000000
120	34037.000000	32642.000000	1395.000000	865.000000	903000c	-7910.000000
121	34702.000000	33354.000000	1348.000000	855.000000	903000c	-7803.000000
122	35372.000000	34065.000000	1307.000000	855.000000	903000c	-7472.000000
123	36045.000000	34791.000000	1254.000000	774.000000	903000c	-7253.000000
124	36721.000000	35509.000000	1212.000000	798.000000	903000c	-7092.000000
125	37400.000000	36226.000000	1174.000000	804.000000	903000c	-6860.000000
126	38083.000000	36960.000000	1123.000000	714.000000	903000c	-6534.000000
127	38768.000000	37690.000000	1078.000000	714.000000	903000c	-6098.000000
128	39457.000000	38414.000000	1043.000000	739.000000	903000c	-6036.000000
129	40148.000000	39148.000000	1000.000000	688.000000	903000c	-5505.000000
130	40841.000000	39885.000000	956.000000	658.000000	903000c	-5425.000000
131	41536.000000	40626.000000	910.000000	624.000000	903000c	-4800.000000
132	42234.000000	41369.000000	865.000000	598.000000	903000c	-4628.000000
133	42934.000000	42109.000000	825.000000	600.000000	903000c	-3964.000000
134	43635.000000	42853.000000	782.000000	569.000000	903000c	-4120.000000
135	44338.000000	43596.000000	742.000000	558.000000	903000c	-3255.000000
136	45042.000000	44333.000000	709.000000	574.000000	903000c	-3236.000000
137	45748.000000	45096.000000	652.000000	426.000000	903000c	-2539.000000
138	46454.000000	45854.000000	600.000000	405.000000	903000c	-2336.000000
139	47161.000000	46596.000000	565.000000	464.000000	903000c	-1942.000000
140	47870.000000	47339.000000	531.000000	452.000000	903000c	-1625.000000
141	48578.000000	48089.000000	489.000000	394.000000	903000c	-999.000000
142	49287.000000	48840.000000	447.000000	355.000000	903000c	-730.000000
143	49997.000000	49585.000000	412.000000	353.000000	903000d	-385.000000
144	50706.000000	50332.000000	374.000000	317.000000	903000d	204.000000
145	51415.000000	51081.000000	334.000000	275.000000	903000d	365.000000
146	52123.000000	51820.000000	303.000000	292.000000	903000d	1052.000000
147	52832.000000	52554.000000	278.000000	296.000000	903000d	1497.000000
148	53539.000000	53300.000000	239.000000	208.000000	903000d	1964.000000
149	54245.000000	54041.000000	204.000000	191.000000	903000d	2204.000000
150	54951.000000	54768.000000	183.000000	232.000000	903000d	2584.000000
151	55655.000000	55503.000000	152.000000	172.000000	903000d	3096.000000
152	56358.000000	56235.000000	123.000000	151.000000	903000d	3560.000000
153	57059.000000	56958.000000	101.000000	166.000000	903000d	4025.000000
