sample	CMD_POS_FLOATMAG_BH	ENC_POS_FLOATMAG_BH	POS_ERR_FLOATMAG_BH	DAC_FLOATMAG_BH	MODE_FLOATMAG_BH	FLOATMAG_ACC_ADC_PORT_0
0	-3.000000	-2.000000	0.000000	-202.000000	ff010001	-77.000000
1	-3.000000	-3.000000	0.000000	-200.000000	ff010001	65.000000
2	-3.000000	-1.000000	-2.000000	-211.000000	903000a	57.000000
3	-3.000000	-2.000000	-1.000000	-188.000000	903000a	99.000000
4	-3.000000	-2.000000	-1.000000	-175.000000	903000a	-132.000000
5	-3.000000	-2.000000	-1.000000	-159.000000	903000a	27.000000
6	-2.000000	-3.000000	1.000000	-135.000000	903000a	-3.000000
7	0.000000	0.000000	0.000000	-136.000000	903000a	182.000000
8	3.000000	-1.000000	4.000000	-99.000000	903000a	-57.000000
9	7.000000	-4.000000	11.000000	-63.000000	903000a	-16.000000
10	11.000000	-3.000000	14.000000	-58.000000	903000a	-85.000000
11	18.000000	2.000000	16.000000	-57.000000	903000a	125.000000
12	26.000000	1.000000	25.000000	-3.000000	903000a	112.000000
13	35.000000	6.000000	29.000000	-1.000000	903000a	52.000000
14	47.000000	12.000000	35.000000	21.000000	903000a	-6.000000
15	61.000000	17.000000	44.000000	58.000000	903000a	-141.000000
16	77.000000	28.000000	49.000000	64.000000	903000a	15.000000
17	95.000000	36.000000	59.000000	112.000000	903000a	-99.000000
18	116.000000	48.000000	68.000000	134.000000	903000a	-38.000000
19	140.000000	61.000000	79.000000	168.000000	903000a	-409.000000
20	166.000000	75.000000	91.000000	205.000000	903000a	-254.000000
21	196.000000	89.000000	107.000000	249.000000	903000a	-455.000000
22	229.000000	108.000000	121.000000	269.000000	903000a	-329.000000
23	265.000000	128.000000	137.000000	306.000000	903000a	-658.000000
24	305.000000	152.000000	153.000000	330.000000	903000a	-774.000000
25	349.000000	175.000000	174.000000	380.000000	903000a	-915.000000
26	396.000000	209.000000	187.000000	371.000000	903000a	-979.000000
27	448.000000	244.000000	204.000000	405.000000	903000a	-990.000000
28	504.000000	280.000000	224.000000	446.000000	903000a	-1342.000000
29	564.000000	324.000000	240.000000	454.000000	903000a	-1439.000000
30	628.000000	370.000000	258.000000	487.000000	903000a	-1895.000000
31	697.000000	421.000000	276.000000	510.000000	903000a	-1830.000000
32	771.000000	472.000000	299.000000	557.000000	903000a	-2238.000000
33	850.000000	537.000000	313.000000	537.000000	903000a	-2268.000000
34	934.000000	604.000000	330.000000	567.000000	903000a	-2946.000000
35	1023.000000	674.000000	349.000000	601.000000	903000a	-3028.000000
36	1117.000000	749.000000	368.000000	627.000000	903000a	-3436.000000
37	1217.000000	829.000000	388.000000	652.000000	903000a	-3591.000000
38	1322.000000	913.000000	409.000000	683.000000	903000a	-4058.000000
39	1433.000000	999.000000	434.000000	725.000000	903000a	-4475.000000
40	1550.000000	1086.000000	464.000000	777.000000	903000a	-4790.000000
41	1672.000000	1182.000000	490.000000	789.000000	903000a	-5133.000000
42	1801.000000	1280.000000	521.000000	830.000000	903000a	-5333.000000
43	1936.000000	1390.000000	546.000000	825.000000	903000a	-5885.000000
44	2077.000000	1504.000000	573.000000	854.000000	903000a	-6113.000000
45	2224.000000	1617.000000	607.000000	917.000000	903000a	-6648.000000
46	2378.000000	1746.000000	632.000000	898.000000	903000a	-6769.000000
47	2539.000000	1871.000000	668.000000	971.000000	903000a	-7234.000000
