sample	CMD_POS_FLOATMAG_BH	ENC_POS_FLOATMAG_BH	POS_ERR_FLOATMAG_BH	DAC_FLOATMAG_BH	MODE_FLOATMAG_BH	FLOATMAG_ACC_ADC_PORT_0
0	-3.000000	-3.000000	0.000000	-198.000000	ff010001	75.000000
1	-3.000000	-5.000000	2.000000	-194.000000	ff010001	16.000000
2	-3.000000	-2.000000	-1.000000	-215.000000	903000a	-13.000000
3	-3.000000	-4.000000	1.000000	-183.000000	903000a	67.000000
4	-3.000000	-1.000000	-2.000000	-190.000000	903000a	102.000000
5	-3.000000	-2.000000	-1.000000	-156.000000	903000a	112.000000
6	-2.000000	-3.000000	1.000000	-135.000000	903000a	47.000000
7	0.000000	-1.000000	1.000000	-131.000000	903000a	-12.000000
8	3.000000	-1.000000	4.000000	-103.000000	903000a	140.000000
9	7.000000	-1.000000	8.000000	-80.000000	903000a	55.000000
10	11.000000	2.000000	9.000000	-72.000000	903000a	188.000000
11	18.000000	3.000000	15.000000	-39.000000	903000a	-55.000000
12	26.000000	2.000000	24.000000	-1.000000	903000a	116.000000
13	35.000000	8.000000	27.000000	-5.000000	903000a	-78.000000
14	47.000000	12.000000	35.000000	29.000000	903000a	254.000000
15	61.000000	19.000000	42.000000	48.000000	903000a	-93.000000
16	77.000000	25.000000	52.000000	87.000000	903000a	59.000000
17	95.000000	34.000000	61.000000	110.000000	903000a	-254.000000
18	116.000000	46.000000	70.000000	132.000000	903000a	-16.000000
19	140.000000	54.000000	86.000000	192.000000	903000a	-260.000000
20	166.000000	72.000000	94.000000	188.000000	903000a	-128.000000
21	196.000000	90.000000	106.000000	224.000000	903000a	-449.000000
22	229.000000	108.000000	121.000000	268.000000	903000a	-500.000000
23	265.000000	126.000000	139.000000	316.000000	903000a	-551.000000
24	305.000000	151.000000	154.000000	328.000000	903000a	-609.000000
25	349.000000	177.000000	172.000000	365.000000	903000a	-728.000000
26	396.000000	205.000000	191.000000	401.000000	903000a	-1039.000000
27	448.000000	242.000000	206.000000	402.000000	903000a	-1110.000000
