sample	CMD_POS_FLOATMAG_BH	ENC_POS_FLOATMAG_BH	POS_ERR_FLOATMAG_BH	DAC_FLOATMAG_BH	MODE_FLOATMAG_BH	FLOATMAG_ACC_ADC_PORT_0
0	-3.000000	-4.000000	0.000000	-201.000000	ff010001	-19.000000
1	-3.000000	-6.000000	3.000000	-195.000000	ff010001	-21.000000
2	-3.000000	-3.000000	0.000000	-215.000000	903000a	20.000000
3	-3.000000	-4.000000	1.000000	-189.000000	903000a	51.000000
4	-3.000000	-6.000000	3.000000	-165.000000	903000a	-72.000000
5	-3.000000	-5.000000	2.000000	-162.000000	903000a	89.000000
6	-2.000000	-7.000000	5.000000	-131.000000	903000a	-157.000000
7	0.000000	-5.000000	5.000000	-130.000000	903000a	104.000000
8	3.000000	-4.000000	7.000000	-108.000000	903000a	-107.000000
9	7.000000	-2.000000	9.000000	-91.000000	903000a	148.000000
10	11.000000	-4.000000	15.000000	-48.000000	903000a	-139.000000
11	18.000000	-3.000000	21.000000	-34.000000	903000a	156.000000
12	26.000000	2.000000	24.000000	-29.000000	903000a	-130.000000
13	35.000000	8.000000	27.000000	-10.000000	903000a	53.000000
14	47.000000	10.000000	37.000000	40.000000	903000a	-133.000000
15	61.000000	16.000000	45.000000	57.000000	903000a	-71.000000
16	77.000000	28.000000	49.000000	59.000000	903000a	-136.000000
17	95.000000	35.000000	60.000000	117.000000	903000a	-160.000000
18	116.000000	45.000000	71.000000	145.000000	903000a	-110.000000
19	140.000000	57.000000	83.000000	175.000000	903000a	-339.000000
20	166.000000	72.000000	94.000000	201.000000	903000a	-307.000000
21	196.000000	90.000000	106.000000	226.000000	903000a	-651.000000
22	229.000000	105.000000	124.000000	284.000000	903000a	-414.000000
23	265.000000	129.000000	136.000000	287.000000	903000a	-709.000000
24	305.000000	153.000000	152.000000	326.000000	903000a	-619.000000
25	349.000000	175.000000	174.000000	383.000000	903000a	-1017.000000
26	396.000000	208.000000	188.000000	377.000000	903000a	-971.000000
27	448.000000	243.000000	205.000000	406.000000	903000a	-1172.000000
28	504.000000	279.000000	225.000000	446.000000	903000a	-1285.000000
29	564.000000	323.000000	241.000000	454.000000	903000a	-1541.000000
30	628.000000	370.000000	258.000000	482.000000	903000a	-1790.000000
31	697.000000	418.000000	279.000000	524.000000	903000a	-2004.000000
32	771.000000	473.000000	298.000000	539.000000	903000a	-2228.000000
33	850.000000	537.000000	313.000000	539.000000	903000a	-2361.000000
34	934.000000	599.000000	335.000000	593.000000	903000a	-2849.000000
35	1023.000000	672.000000	351.000000	590.000000	903000a	-3038.000000
36	1117.000000	748.000000	369.000000	620.000000	903000a	-3514.000000
37	1217.000000	826.000000	391.000000	661.000000	903000a	-3614.000000
38	1322.000000	908.000000	414.000000	695.000000	903000a	-4050.000000
39	1433.000000	991.000000	442.000000	744.000000	903000a	-4330.000000
40	1550.000000	1081.000000	469.000000	766.000000	903000a	-4836.000000
41	1672.000000	1178.000000	494.000000	782.000000	903000a	-5140.000000
42	1801.000000	1278.000000	523.000000	819.000000	903000a	-5322.000000
43	1936.000000	1381.000000	555.000000	860.000000	903000a	-5802.000000
44	2077.000000	1496.000000	581.000000	857.000000	903000a	-6050.000000
45	2224.000000	1614.000000	610.000000	894.000000	903000a	-6634.000000
46	2378.000000	1740.000000	638.000000	911.000000	903000a	-6810.000000
47	2539.000000	1870.000000	669.000000	948.000000	903000a	-7232.000000
48	2706.000000	2004.000000	702.000000	990.000000	903000a	-7385.000000
49	2880.000000	2140.000000	740.000000	1044.000000	903000a	-8040.000000
50	3061.000000	2289.000000	772.000000	1044.000000	903000a	-8227.000000
51	3248.000000	2440.000000	808.000000	1091.000000	903000a	-8646.000000
52	3443.000000	2601.000000	842.000000	1104.000000	903000a	-8901.000000
53	3645.000000	2768.000000	877.000000	1132.000000	903000a	-9202.000000
54	3854.000000	2941.000000	913.000000	1164.000000	903000a	-9649.000000
55	4070.000000	3118.000000	952.000000	1207.000000	903000a	-9938.000000
56	4293.000000	3301.000000	992.000000	1242.000000	903000a	-10297.000000
57	4524.000000	3486.000000	1038.000000	1297.000000	903000a	-10301.000000
58	4763.000000	3686.000000	1077.000000	1287.000000	903000a	-10883.000000
59	5008.000000	3896.000000	1112.000000	1291.000000	903000a	-10860.000000
60	5262.000000	4107.000000	1155.000000	1343.000000	903000a	-11425.000000
61	5523.000000	4320.000000	1203.000000	1400.000000	903000a	-11270.000000
62	5791.000000	4545.000000	1246.000000	1408.000000	903000a	-11707.000000
63	6067.000000	4778.000000	1289.000000	1427.000000	903000a	-11694.000000
64	6351.000000	5017.000000	1334.000000	1458.000000	903000a	-12162.000000
65	6643.000000	5262.000000	1381.000000	1492.000000	903000a	-12056.000000
66	6943.000000	5513.000000	1430.000000	1526.000000	903000a	-12246.000000
67	7250.000000	5777.000000	1473.000000	1525.000000	903000a	-12334.000000
68	7565.000000	6047.000000	1518.000000	1553.000000	903000a	-12380.000000
69	7888.000000	6320.000000	1568.000000	1603.000000	903000a	-12605.000000
70	8219.000000	6606.000000	1613.000000	1605.000000	903000a	-12604.000000
71	8558.000000	6905.000000	1653.000000	1598.000000	903000a	-12682.000000
72	8905.000000	7208.000000	1697.000000	1634.000000	903000c	-12633.000000
73	9259.000000	7517.000000	1742.000000	1669.000000	903000c	-12709.000000
74	9622.000000	7846.000000	1776.000000	1630.000000	903000c	-12591.000000
75	9992.000000	8176.000000	1816.000000	1676.000000	903000c	-12729.000000
76	10371.000000	8504.000000	1867.000000	1752.000000	903000c	-12622.000000
77	10757.000000	8858.000000	1899.000000	1688.000000	903000c	-12549.000000
78	11151.000000	9212.000000	1939.000000	1732.000000	903000c	-12520.000000
79	11553.000000	9571.000000	1982.000000	1767.000000	903000c	-12527.000000
80	11962.000000	9950.000000	2012.000000	1723.000000	903000c	-12463.000000
81	12380.000000	10335.000000	2045.000000	1736.000000	903000c	-12213.000000
82	12805.000000	10730.000000	2075.000000	1735.000000	903000c	-12238.000000
83	13238.000000	11146.000000	2092.000000	1675.000000	903000c	-11957.000000
84	13679.000000	11557.000000	2122.000000	1738.000000	903000c	-12014.000000
85	14127.000000	11993.000000	2134.000000	1666.000000	903000c	-11822.000000
86	14583.000000	12434.000000	2149.000000	1674.000000	903000c	-11919.000000
87	15046.000000	12886.000000	2160.000000	1662.000000	903000c	-11606.000000
88	15517.000000	13342.000000	2175.000000	1683.000000	903000c	-11624.000000
89	15996.000000	13805.000000	2191.000000	1693.000000	903000c	-11278.000000
90	16481.000000	14287.000000	2194.000000	1637.000000	903000c	-11352.000000
91	16974.000000	14766.000000	2208.000000	1681.000000	903000c	-11262.000000
92	17475.000000	15272.000000	2203.000000	1584.000000	903000c	-11030.000000
93	17982.000000	15774.000000	2208.000000	1623.000000	903000c	-11019.000000
94	18497.000000	16295.000000	2202.000000	1564.000000	903000c	-10861.000000
95	19018.000000	16819.000000	2199.000000	1571.000000	903000c	-10878.000000
96	19547.000000	17359.000000	2188.000000	1520.000000	903000c	-10605.000000
97	20082.000000	17893.000000	2189.000000	1574.000000	903000c	-10627.000000
98	20624.000000	18453.000000	2171.000000	1478.000000	903000c	-10337.000000
99	21173.000000	19014.000000	2159.000000	1485.000000	903000c	-10400.000000
100	21728.000000	19578.000000	2150.000000	1497.000000	903000c	-10378.000000
101	22290.000000	20162.000000	2128.000000	1422.000000	903000c	-10268.000000
102	22858.000000	20745.000000	2113.000000	1439.000000	903000c	-10138.000000
103	23432.000000	21356.000000	2076.000000	1319.000000	903000c	-10011.000000
104	24013.000000	21953.000000	2060.000000	1393.000000	903000c	-9912.000000
105	24599.000000	22570.000000	2029.000000	1323.000000	903000c	-9720.000000
106	25192.000000	23193.000000	1999.000000	1301.000000	903000c	-9855.000000
107	25790.000000	23813.000000	1977.000000	1331.000000	903000c	-9474.000000
108	26394.000000	24470.000000	1924.000000	1160.000000	903000c	-9614.000000
109	27004.000000	25117.000000	1887.000000	1195.000000	903000c	-9317.000000
110	27619.000000	25763.000000	1856.000000	1218.000000	903000c	-9478.000000
111	28239.000000	26426.000000	1813.000000	1148.000000	903000c	-9198.000000
112	28864.000000	27090.000000	1774.000000	1140.000000	903000c	-9160.000000
113	29495.000000	27771.000000	1724.000000	1057.000000	903000c	-8777.000000
114	30130.000000	28457.000000	1673.000000	1021.000000	903000c	-8881.000000
115	30770.000000	29135.000000	1635.000000	1060.000000	903000c	-8695.000000
116	31415.000000	29826.000000	1589.000000	1003.000000	903000c	-8794.000000
117	32064.000000	30529.000000	1535.000000	933.000000	903000c	-8512.000000
118	32717.000000	31224.000000	1493.000000	962.000000	903000c	-8367.000000
119	33375.000000	31929.000000	1446.000000	914.000000	903000c	-8078.000000
120	34037.000000	32640.000000	1397.000000	874.000000	903000c	-7916.000000
121	34702.000000	33347.000000	1355.000000	885.000000	903000c	-7897.000000
122	35372.000000	34056.000000	1316.000000	875.000000	903000c	-7610.000000
123	36045.000000	34781.000000	1264.000000	787.000000	903000c	-7318.000000
124	36721.000000	35501.000000	1220.000000	793.000000	903000c	-7008.000000
125	37400.000000	36214.000000	1186.000000	826.000000	903000c	-6967.000000
126	38083.000000	36947.000000	1136.000000	726.000000	903000c	-6682.000000
127	38768.000000	37680.000000	1088.000000	703.000000	903000c	-6314.000000
128	39457.000000	38407.000000	1050.000000	724.000000	903000c	-5886.000000
129	40148.000000	39135.000000	1013.000000	719.000000	903000c	-5434.000000
130	40841.000000	39877.000000	964.000000	640.000000	903000c	-5342.000000
131	41536.000000	40612.000000	924.000000	655.000000	903000c	-5102.000000
132	42234.000000	41355.000000	879.000000	607.000000	903000c	-4831.000000
133	42934.000000	42096.000000	838.000000	600.000000	903000c	-4049.000000
134	43635.000000	42841.000000	794.000000	567.000000	903000c	-3937.000000
135	44338.000000	43583.000000	755.000000	565.000000	903000c	-3385.000000
136	45042.000000	44331.000000	711.000000	520.000000	903000c	-3430.000000
137	45748.000000	45089.000000	659.000000	444.000000	903000c	-2592.000000
138	46454.000000	45837.000000	617.000000	464.000000	903000c	-2378.000000
139	47161.000000	46581.000000	580.000000	469.000000	903000c	-1777.000000
140	47870.000000	47329.000000	541.000000	431.000000	903000c	-1866.000000
141	48578.000000	48079.000000	499.000000	393.000000	903000c	-1245.000000
142	49287.000000	48828.000000	459.000000	367.000000	903000c	-959.000000
143	49997.000000	49579.000000	418.000000	326.000000	903000d	-172.000000
144	50706.000000	50320.000000	386.000000	346.000000	903000d	214.000000
145	51415.000000	51065.000000	350.000000	303.000000	903000d	315.000000
146	52123.000000	51800.000000	323.000000	323.000000	903000d	658.000000
147	52832.000000	52536.000000	296.000000	295.000000	903000d	1258.000000
148	53539.000000	53290.000000	249.000000	169.000000	903000d	1928.000000
149	54245.000000	54032.000000	213.000000	180.000000	903000d	2260.000000
150	54951.000000	54755.000000	196.000000	253.000000	903000d	2574.000000
151	55655.000000	55485.000000	170.000000	206.000000	903000d	2839.000000
152	56358.000000	56220.000000	138.000000	147.000000	903000d	3464.000000
153	57059.000000	56951.000000	108.000000	129.000000	903000d	3927.000000
154	57759.000000	57680.000000	79.000000	107.000000	903000d	4351.000000
155	58457.000000	58401.000000	56.000000	117.000000	903000d	4580.000000
156	59152.000000	59125.000000	27.000000	76.000000	903000d	4678.000000
157	59845.000000	59835.000000	10.000000	113.000000	903000d	5352.000000
158	60536.000000	60555.000000	-19.000000	37.000000	903000d	5798.000000
159	61225.000000	61275.000000	-50.000000	-8.000000	903000d	6383.000000
160	61910.000000	61989.000000	-79.000000	-21.000000	903000d	6090.000000
161	62593.000000	62687.000000	-94.000000	25.000000	903000d	6587.000000
162	63272.000000	63399.000000	-127.000000	-73.000000	903000d	6760.000000
163	63948.000000	64092.000000	-144.000000	-28.000000	903000d	7554.000000
164	64621.000000	64786.000000	-165.000000	-65.000000	903000d	7493.000000
165	65291.000000	65488.000000	-197.000000	-152.000000	903000d	7849.000000
166	65956.000000	66178.000000	-222.000000	-149.000000	903000d	7763.000000
167	66618.000000	66853.000000	-235.000000	-112.000000	903000d	8287.000000
168	67276.000000	67536.000000	-260.000000	-188.000000	903000d	8569.000000
169	67929.000000	68207.000000	-278.000000	-182.000000	903000d	8858.000000
170	68578.000000	68872.000000	-294.000000	-194.000000	903000d	8688.000000
171	69223.000000	69542.000000	-319.000000	-265.000000	903000d	8844.000000
172	69863.000000	70195.000000	-332.000000	-234.000000	903000d	9279.000000
173	70498.000000	70841.000000	-343.000000	-235.000000	903000d	9521.000000
174	71129.000000	71493.000000	-364.000000	-309.000000	903000d	9731.000000
175	71754.000000	72125.000000	-371.000000	-261.000000	903000d	9576.000000
176	72375.000000	72756.000000	-381.000000	-290.000000	903000d	9615.000000
177	72989.000000	73380.000000	-391.000000	-300.000000	903000d	9873.000000
178	73599.000000	73996.000000	-397.000000	-303.000000	903000d	10192.000000
179	74203.000000	74613.000000	-410.000000	-351.000000	903000d	10143.000000
180	74801.000000	75213.000000	-412.000000	-313.000000	903000d	10124.000000
181	75394.000000	75817.000000	-423.000000	-369.000000	903000d	10173.000000
182	75980.000000	76401.000000	-421.000000	-317.000000	903000d	10205.000000
183	76561.000000	76979.000000	-418.000000	-317.000000	903000d	10651.000000
184	77135.000000	77561.000000	-426.000000	-379.000000	903000d	10354.000000
185	77703.000000	78126.000000	-423.000000	-346.000000	903000d	10403.000000
186	78265.000000	78697.000000	-432.000000	-415.000000	903000d	10166.000000
187	78820.000000	79246.000000	-426.000000	-356.000000	903000d	10485.000000
188	79369.000000	79804.000000	-435.000000	-437.000000	903000d	10417.000000
189	79911.000000	80340.000000	-429.000000	-381.000000	903000d	10718.000000
190	80446.000000	80877.000000	-431.000000	-422.000000	903000d	10309.000000
191	80975.000000	81397.000000	-422.000000	-384.000000	903000d	10335.000000
192	81496.000000	81921.000000	-425.000000	-444.000000	903000d	10232.000000
193	82011.000000	82426.000000	-415.000000	-402.000000	903000d	10427.000000
194	82518.000000	82936.000000	-418.000000	-467.000000	903000d	10299.000000
195	83019.000000	83418.000000	-399.000000	-379.000000	903000d	10375.000000
196	83512.000000	83909.000000	-397.000000	-456.000000	903000d	10143.000000
197	83997.000000	84380.000000	-383.000000	-410.000000	903000d	10226.000000
198	84476.000000	84853.000000	-377.000000	-459.000000	903000d	10286.000000
199	84947.000000	85302.000000	-355.000000	-386.000000	903000d	10284.000000
200	85410.000000	85758.000000	-348.000000	-454.000000	903000d	10231.000000
201	85866.000000	86194.000000	-328.000000	-404.000000	903000d	10099.000000
202	86314.000000	86628.000000	-314.000000	-428.000000	903000d	10032.000000
203	86755.000000	87050.000000	-295.000000	-411.000000	903000d	10181.000000
204	87188.000000	87462.000000	-274.000000	-396.000000	903000d	10108.000000
205	87613.000000	87879.000000	-266.000000	-459.000000	903000d	10133.000000
206	88031.000000	88276.000000	-245.000000	-407.000000	903000d	9852.000000
207	88440.000000	88674.000000	-234.000000	-442.000000	903000d	10020.000000
208	88842.000000	89063.000000	-221.000000	-439.000000	903000d	9780.000000
209	89236.000000	89436.000000	-200.000000	-394.000000	903000d	10069.000000
210	89622.000000	89810.000000	-188.000000	-429.000000	903000d	9523.000000
211	90001.000000	90170.000000	-169.000000	-401.000000	903000d	9761.000000
212	90371.000000	90523.000000	-152.000000	-398.000000	903000d	9387.000000
213	90734.000000	90871.000000	-137.000000	-411.000000	903000f	9733.000000
214	91088.000000	91205.000000	-117.000000	-381.000000	903000f	9450.000000
215	91435.000000	91527.000000	-92.000000	-352.000000	903000f	9550.000000
216	91774.000000	91854.000000	-80.000000	-413.000000	903000f	9117.000000
217	92105.000000	92168.000000	-63.000000	-397.000000	903000f	9325.000000
218	92428.000000	92471.000000	-43.000000	-378.000000	903000f	9126.000000
219	92743.000000	92772.000000	-29.000000	-403.000000	903000f	9330.000000
220	93050.000000	93067.000000	-17.000000	-416.000000	903000f	9133.000000
221	93350.000000	93344.000000	6.000000	-363.000000	903000f	8989.000000
222	93642.000000	93619.000000	23.000000	-379.000000	903000f	8926.000000
223	93926.000000	93890.000000	36.000000	-397.000000	903000f	9073.000000
224	94202.000000	94154.000000	48.000000	-400.000000	903000f	9024.000000
225	94470.000000	94401.000000	69.000000	-347.000000	903000f	8887.000000
226	94731.000000	94643.000000	88.000000	-344.000000	903000f	8836.000000
227	94985.000000	94883.000000	102.000000	-365.000000	903000f	8694.000000
228	95230.000000	95111.000000	119.000000	-339.000000	903000f	8781.000000
229	95469.000000	95332.000000	137.000000	-330.000000	903000f	8767.000000
230	95700.000000	95541.000000	159.000000	-295.000000	903000f	8707.000000
231	95923.000000	95749.000000	174.000000	-313.000000	903000f	8620.000000
232	96139.000000	95955.000000	184.000000	-336.000000	903000f	8489.000000
233	96348.000000	96149.000000	199.000000	-307.000000	903000f	8499.000000
234	96550.000000	96336.000000	214.000000	-294.000000	903000f	8477.000000
235	96745.000000	96512.000000	233.000000	-260.000000	903000f	8438.000000
236	96932.000000	96687.000000	245.000000	-275.000000	903000f	8160.000000
237	97113.000000	96860.000000	253.000000	-294.000000	903000f	8167.000000
238	97287.000000	97024.000000	263.000000	-278.000000	903000f	8158.000000
239	97454.000000	97180.000000	274.000000	-260.000000	903000f	8103.000000
240	97615.000000	97325.000000	290.000000	-224.000000	903000f	7986.000000
241	97769.000000	97465.000000	304.000000	-215.000000	903000f	7834.000000
242	97916.000000	97598.000000	318.000000	-200.000000	903000f	7735.000000
243	98057.000000	97732.000000	325.000000	-227.000000	903000f	7706.000000
244	98192.000000	97857.000000	335.000000	-209.000000	903000f	7753.000000
245	98321.000000	97976.000000	345.000000	-197.000000	903000f	7474.000000
246	98443.000000	98091.000000	352.000000	-195.000000	903000f	7569.000000
247	98560.000000	98197.000000	363.000000	-168.000000	903000f	7277.000000
248	98671.000000	98301.000000	370.000000	-172.000000	903000f	7557.000000
249	98776.000000	98395.000000	381.000000	-138.000000	903000f	7141.000000
250	98876.000000	98484.000000	392.000000	-123.000000	903000f	7317.000000
251	98970.000000	98568.000000	402.000000	-110.000000	903000f	6832.000000
252	99059.000000	98648.000000	411.000000	-101.000000	903000f	7098.000000
253	99143.000000	98729.000000	414.000000	-119.000000	903000f	6842.000000
254	99222.000000	98798.000000	424.000000	-73.000000	903000f	7001.000000
255	99296.000000	98867.000000	429.000000	-77.000000	903000f	6509.000000
256	99365.000000	98928.000000	437.000000	-45.000000	903000f	6539.000000
257	99429.000000	98991.000000	438.000000	-60.000000	903000f	6283.000000
258	99489.000000	99050.000000	439.000000	-51.000000	903000f	6318.000000
259	99545.000000	99099.000000	446.000000	-6.000000	903000f	6201.000000
260	99597.000000	99148.000000	449.000000	-5.000000	903000f	5864.000000
261	99644.000000	99190.000000	454.000000	25.000000	903000f	5719.000000
262	99688.000000	99228.000000	460.000000	46.000000	903000f	5553.000000
263	99728.000000	99261.000000	467.000000	70.000000	903000f	5483.000000
264	99764.000000	99297.000000	467.000000	54.000000	903000f	5225.000000
265	99797.000000	99324.000000	473.000000	94.000000	903000f	5035.000000
266	99827.000000	99351.000000	476.000000	97.000000	903000f	4681.000000
267	99853.000000	99369.000000	484.000000	144.000000	903000f	4651.000000
268	99877.000000	99390.000000	487.000000	136.000000	903000f	4567.000000
269	99898.000000	99407.000000	491.000000	156.000000	903000f	4265.000000
270	99916.000000	99422.000000	494.000000	171.000000	903000f	4039.000000
271	99932.000000	99438.000000	494.000000	171.000000	903000f	3673.000000
272	99946.000000	99451.000000	495.000000	191.000000	903000f	3694.000000
273	99958.000000	99458.000000	500.000000	231.000000	903000f	3397.000000
274	99967.000000	99467.000000	500.000000	235.000000	903000f	3399.000000
275	99975.000000	99476.000000	499.000000	244.000000	903000f	2790.000000
276	99982.000000	99481.000000	501.000000	275.000000	903000f	2793.000000
277	99986.000000	99491.000000	495.000000	263.000000	903000f	2395.000000
278	99990.000000	99503.000000	487.000000	261.000000	903000f	2459.000000
279	99993.000000	99504.000000	489.000000	328.000000	903000f	1942.000000
280	99995.000000	99508.000000	487.000000	336.000000	903000f	1725.000000
281	99996.000000	99513.000000	483.000000	346.000000	903000f	1253.000000
282	99996.000000	99516.000000	480.000000	370.000000	903000f	1222.000000
283	99996.000000	99519.000000	477.000000	387.000000	901000f	1024.000000
284	99997.000000	99525.000000	472.000000	362.000000	ff010001	716.000000
285	99997.000000	99526.000000	471.000000	380.000000	ff010001	338.000000
286	99997.000000	99528.000000	469.000000	380.000000	ff010001	-164.000000
287	99997.000000	99537.000000	460.000000	353.000000	ff010001	-227.000000
288	99997.000000	99542.000000	455.000000	366.000000	ff010001	-557.000000
289	99997.000000	99550.000000	447.000000	357.000000	ff010001	-732.000000
290	99997.000000	99556.000000	441.000000	366.000000	ff010001	-1230.000000
291	99997.000000	99564.000000	433.000000	361.000000	ff010001	-1480.000000
292	99997.000000	99572.000000	425.000000	362.000000	ff010001	-1780.000000
293	99997.000000	99577.000000	420.000000	375.000000	ff010001	-1876.000000
294	99997.000000	99586.000000	411.000000	360.000000	ff010001	-2265.000000
295	99997.000000	99595.000000	402.000000	357.000000	ff010001	-2729.000000
296	99997.000000	99608.000000	389.000000	338.000000	ff010001	-2952.000000
297	99997.000000	99617.000000	380.000000	349.000000	ff010001	-3207.000000
298	99997.000000	99626.000000	371.000000	348.000000	ff010001	-3027.000000
299	99997.000000	99639.000000	358.000000	329.000000	ff010001	-3507.000000
300	99997.000000	99650.000000	347.000000	330.000000	ff010001	-3533.000000
301	99997.000000	99665.000000	332.000000	310.000000	ff010001	-4118.000000
302	99997.000000	99678.000000	319.000000	312.000000	ff010001	-3868.000000
303	99997.000000	99689.000000	308.000000	317.000000	ff010001	-4329.000000
304	99997.000000	99704.000000	293.000000	299.000000	ff010001	-4111.000000
305	99997.000000	99719.000000	278.000000	293.000000	ff010001	-4568.000000
306	99997.000000	99736.000000	261.000000	280.000000	ff010001	-4445.000000
307	99997.000000	99752.000000	245.000000	279.000000	ff010001	-4653.000000
308	99997.000000	99767.000000	230.000000	281.000000	ff010001	-4511.000000
309	99997.000000	99780.000000	217.000000	288.000000	ff010001	-4654.000000
310	99997.000000	99796.000000	201.000000	276.000000	ff010001	-4756.000000
311	99997.000000	99802.000000	195.000000	313.000000	ff010001	-4779.000000
312	99997.000000	99816.000000	181.000000	286.000000	ff010001	-4697.000000
313	99997.000000	99830.000000	167.000000	280.000000	ff010001	-4359.000000
314	99997.000000	99838.000000	159.000000	301.000000	ff010001	-4402.000000
315	99997.000000	99846.000000	151.000000	304.000000	ff010001	-4211.000000
316	99997.000000	99854.000000	143.000000	304.000000	ff010001	-4229.000000
317	99997.000000	99868.000000	129.000000	279.000000	ff010001	-3983.000000
318	99997.000000	99872.000000	125.000000	314.000000	ff010001	-3789.000000
319	99997.000000	99879.000000	118.000000	308.000000	ff010001	-3512.000000
320	99997.000000	99889.000000	108.000000	294.000000	ff010001	-3270.000000
321	99997.000000	99894.000000	103.000000	312.000000	ff010001	-3138.000000
322	99997.000000	99902.000000	95.000000	303.000000	ff010001	-2688.000000
323	99997.000000	99910.000000	87.000000	301.000000	ff010001	-2492.000000
324	99997.000000	99916.000000	81.000000	309.000000	ff010001	-1925.000000
325	99997.000000	99920.000000	77.000000	319.000000	ff010001	-2052.000000
326	99997.000000	99928.000000	69.000000	305.000000	ff010001	-1401.000000
327	99997.000000	99934.000000	63.000000	310.000000	ff010001	-1401.000000
328	99997.000000	99942.000000	55.000000	302.000000	ff010001	-568.000000
329	99997.000000	99944.000000	53.000000	325.000000	ff010001	-509.000000
330	99997.000000	99951.000000	46.000000	309.000000	ff010001	75.000000
331	99997.000000	99957.000000	40.000000	309.000000	ff010001	120.000000
332	99997.000000	99965.000000	32.000000	300.000000	ff010001	576.000000
333	99997.000000	99968.000000	29.000000	318.000000	ff010001	854.000000
334	99997.000000	99971.000000	26.000000	320.000000	ff010001	1352.000000
335	99997.000000	99977.000000	20.000000	308.000000	ff010001	1666.000000
336	99997.000000	99983.000000	14.000000	305.000000	ff010001	1942.000000
337	99997.000000	99982.000000	15.000000	331.000000	ff010001	2370.000000
338	99997.000000	99985.000000	12.000000	319.000000	ff010001	2604.000000
339	99997.000000	99991.000000	6.000000	304.000000	ff010001	3055.000000
340	99997.000000	99992.000000	5.000000	321.000000	ff010001	3124.000000
341	99997.000000	99992.000000	5.000000	328.000000	ff010001	3562.000000
342	99997.000000	99998.000000	-1.000000	304.000000	ff010001	3669.000000
343	99997.000000	100000.000000	-3.000000	316.000000	ff010001	4067.000000
344	99997.000000	100002.000000	-5.000000	318.000000	ff010001	4246.000000
345	99997.000000	100007.000000	-10.000000	307.000000	ff010001	4507.000000
346	99997.000000	100012.000000	-15.000000	305.000000	ff010001	4691.000000
347	99997.000000	100014.000000	-17.000000	317.000000	ff010001	4704.000000
348	99997.000000	100014.000000	-17.000000	328.000000	ff010001	4916.000000
349	99997.000000	100020.000000	-23.000000	306.000000	ff010001	4912.000000
350	99997.000000	100028.000000	-31.000000	294.000000	ff010001	5254.000000
351	99997.000000	100033.000000	-36.000000	303.000000	ff010001	5113.000000
352	99997.000000	100038.000000	-41.000000	304.000000	ff010001	5447.000000
353	99997.000000	100041.000000	-44.000000	312.000000	ff010001	5173.000000
354	99997.000000	100048.000000	-51.000000	296.000000	ff010001	5369.000000
355	99997.000000	100048.000000	-51.000000	321.000000	ff010001	5087.000000
356	99997.000000	100057.000000	-60.000000	287.000000	ff010001	5229.000000
357	99997.000000	100061.000000	-64.000000	300.000000	ff010001	5013.000000
358	99997.000000	100065.000000	-68.000000	300.000000	ff010001	4988.000000
359	99997.000000	100071.000000	-74.000000	290.000000	ff010001	4874.000000
360	99997.000000	100073.000000	-76.000000	303.000000	ff010001	4783.000000
361	99997.000000	100079.000000	-82.000000	288.000000	ff010001	4721.000000
362	99997.000000	100084.000000	-87.000000	288.000000	ff010001	4325.000000
363	99997.000000	100086.000000	-89.000000	298.000000	ff010001	4210.000000
364	99997.000000	100093.000000	-96.000000	279.000000	ff010001	3768.000000
365	99997.000000	100094.000000	-97.000000	299.000000	ff010001	3912.000000
366	99997.000000	100099.000000	-102.000000	286.000000	ff010001	3464.000000
367	99997.000000	100100.000000	-103.000000	300.000000	ff010001	3446.000000
368	99997.000000	100101.000000	-104.000000	302.000000	ff010001	2901.000000
369	99997.000000	100110.000000	-113.000000	270.000000	ff010001	2682.000000
370	99997.000000	100109.000000	-112.000000	305.000000	ff010001	2292.000000
371	99997.000000	100112.000000	-115.000000	295.000000	ff010001	2075.000000
372	99997.000000	100116.000000	-119.000000	290.000000	ff010001	1759.000000
373	99997.000000	100117.000000	-120.000000	301.000000	ff010001	1299.000000
374	99997.000000	100122.000000	-125.000000	287.000000	ff010001	1100.000000
375	99997.000000	100125.000000	-128.000000	292.000000	ff010001	687.000000
376	99997.000000	100124.000000	-127.000000	310.000000	ff010001	702.000000
377	99997.000000	100126.000000	-129.000000	300.000000	ff010001	31.000000
378	99997.000000	100132.000000	-135.000000	282.000000	ff010001	-116.000000
379	99997.000000	100133.000000	-136.000000	298.000000	ff010001	-820.000000
380	99997.000000	100131.000000	-134.000000	313.000000	ff010001	-733.000000
381	99997.000000	100135.000000	-138.000000	291.000000	ff010001	-1207.000000
382	99997.000000	100133.000000	-136.000000	311.000000	ff010001	-1305.000000
383	99997.000000	100133.000000	-136.000000	305.000000	ff010001	-1825.000000
384	99997.000000	100134.000000	-137.000000	300.000000	ff010001	-2006.000000
385	99997.000000	100135.000000	-138.000000	298.000000	ff010001	-2295.000000
386	99997.000000	100129.000000	-132.000000	326.000000	ff010001	-2503.000000
387	99997.000000	100132.000000	-135.000000	294.000000	ff010001	-2724.000000
388	99997.000000	100128.000000	-131.000000	317.000000	ff010001	-3093.000000
389	99997.000000	100125.000000	-128.000000	317.000000	ff010001	-3158.000000
390	99997.000000	100127.000000	-130.000000	297.000000	ff010001	-3418.000000
